,Assists,Deaths,GPM,Kills,Match Counter,Match ID,Match Length (s),Player ID,Player Slot,Win Y/N,XPM
0,12,4,647,14,1,1899269380,1501,4294967295,0,1,530
1,13,5,350,3,1,1899269380,1501,102827045,1,1,297
2,15,5,342,1,1,1899269380,1501,4294967295,2,1,333
3,12,3,642,14,1,1899269380,1501,86811043,3,1,500
4,14,4,432,3,1,1899269380,1501,44039249,4,1,354
5,8,3,382,1,1,1899269380,1501,46667982,128,0,451
6,6,8,204,4,1,1899269380,1501,47067153,129,0,235
7,6,6,364,7,1,1899269380,1501,86740711,130,0,338
8,7,12,260,4,1,1899269380,1501,30999748,131,0,268
9,10,6,239,4,1,1899269380,1501,6289444,132,0,224
10,5,5,667,14,1,1825747345,3520,46667982,0,0,552
11,6,8,262,5,1,1825747345,3520,1049332,1,0,345
12,10,10,246,1,1,1825747345,3520,4294967295,2,0,263
13,20,12,363,8,1,1825747345,3520,86740711,3,0,401
14,13,9,510,3,1,1825747345,3520,1049667,4,0,558
15,9,5,461,6,1,1825747345,3520,131087554,128,1,492
16,17,6,279,1,1,1825747345,3520,126874367,129,1,313
17,11,11,268,4,1,1825747345,3520,127377347,130,1,313
18,6,4,626,23,1,1825747345,3520,94871132,131,1,552
19,26,6,571,10,1,1825747345,3520,236751013,132,1,552
20,0,6,376,2,1,1819945960,1786,46667982,0,0,355
21,3,4,147,0,1,1819945960,1786,1049332,1,0,146
22,4,2,491,1,1,1819945960,1786,86740711,2,0,433
23,3,3,262,1,1,1819945960,1786,6289444,3,0,250
24,3,8,178,1,1,1819945960,1786,4294967295,4,0,138
25,4,2,508,6,1,1819945960,1786,92084040,128,1,338
26,7,2,305,0,1,1819945960,1786,83351882,129,1,168
27,7,2,506,5,1,1819945960,1786,50047712,130,1,375
28,4,1,777,11,1,1819945960,1786,84819538,131,1,985
29,5,0,298,1,1,1819945960,1786,6965626,132,1,144
30,3,7,269,2,1,1801005732,1792,16073240,0,0,264
31,2,3,387,5,1,1801005732,1792,42908602,1,0,395
32,6,7,390,1,1,1801005732,1792,19045207,2,0,401
33,8,8,213,0,1,1801005732,1792,1296475,3,0,193
34,6,3,310,4,1,1801005732,1792,10345264,4,0,283
35,8,0,781,6,1,1801005732,1792,46667982,128,1,744
36,10,3,431,3,1,1801005732,1792,30999748,129,1,326
37,4,4,314,1,1,1801005732,1792,1049332,130,1,224
38,8,3,348,3,1,1801005732,1792,35307969,131,1,303
39,11,3,790,13,1,1801005732,1792,86740711,132,1,825
40,13,11,265,1,1,1798741618,3138,112796127,0,0,300
41,5,6,494,6,1,1798741618,3138,155247175,1,0,566
42,4,7,558,15,1,1798741618,3138,121092494,2,0,619
43,8,9,289,4,1,1798741618,3138,136492068,3,0,345
44,14,9,204,1,1,1798741618,3138,155652184,4,0,248
45,5,5,750,10,1,1798741618,3138,46667982,128,1,619
46,21,9,322,4,1,1798741618,3138,47067153,129,1,317
47,18,3,615,11,1,1798741618,3138,86740711,130,1,620
48,3,5,385,6,1,1798741618,3138,1049332,131,1,357
49,20,5,393,10,1,1798741618,3138,6289444,132,1,456
50,7,1,779,8,1,1782134495,2062,46667982,0,1,779
51,21,3,413,4,1,1782134495,2062,32307910,1,1,415
52,17,4,320,3,1,1782134495,2062,1049332,2,1,348
53,12,3,717,14,1,1782134495,2062,86740711,3,1,753
54,14,3,403,9,1,1782134495,2062,4294967295,4,1,385
55,3,7,335,4,1,1782134495,2062,146268900,128,0,413
56,7,6,297,2,1,1782134495,2062,110351200,129,0,286
57,8,12,304,2,1,1782134495,2062,89010514,130,0,296
58,6,7,313,3,1,1782134495,2062,127721471,131,0,328
59,11,9,312,2,1,1782134495,2062,52512608,132,0,362
60,14,16,515,10,1,1777863899,2999,186980709,0,0,598
61,8,8,199,1,1,1777863899,2999,245284101,1,0,232
62,6,7,449,5,1,1777863899,2999,4294967295,2,0,462
63,12,11,320,7,1,1777863899,2999,4294967295,3,0,290
64,10,8,548,7,1,1777863899,2999,4294967295,4,0,648
65,10,4,815,19,1,1777863899,2999,46667982,128,1,654
66,12,6,430,3,1,1777863899,2999,1049332,129,1,367
67,7,5,738,12,1,1777863899,2999,86740711,130,1,649
68,19,8,472,8,1,1777863899,2999,120792769,131,1,447
69,11,9,350,5,1,1777863899,2999,47067153,132,1,298
70,3,6,474,4,1,1720458304,1978,133328560,0,0,561
71,3,9,157,1,1,1720458304,1978,4294967295,1,0,148
72,3,8,185,3,1,1720458304,1978,102256321,2,0,137
73,5,10,396,2,1,1720458304,1978,4294967295,3,0,502
74,4,7,302,5,1,1720458304,1978,4294967295,4,0,374
75,8,4,715,10,1,1720458304,1978,100599348,128,1,665
76,10,1,384,3,1,1720458304,1978,6289444,129,1,451
77,15,2,651,11,1,1720458304,1978,86740711,130,1,720
78,12,8,366,1,1,1720458304,1978,122695769,131,1,294
79,5,1,798,10,1,1720458304,1978,46667982,132,1,816
80,6,10,234,1,1,1648686480,3525,231286406,0,0,249
81,11,9,482,12,1,1648686480,3525,4294967295,1,0,554
82,3,15,411,10,1,1648686480,3525,97809431,2,0,441
83,17,15,318,7,1,1648686480,3525,92004082,3,0,396
84,6,7,603,8,1,1648686480,3525,129653543,4,0,554
85,15,8,597,17,1,1648686480,3525,46667982,128,1,558
86,26,7,372,15,1,1648686480,3525,47067153,129,1,528
87,23,11,512,8,1,1648686480,3525,35307969,130,1,509
88,20,4,463,12,1,1648686480,3525,86740711,131,1,551
89,17,10,248,0,1,1648686480,3525,1049332,132,1,336
90,5,3,750,19,1,1548472489,2645,116985284,0,1,735
91,5,16,245,0,1,1548472489,2645,4294967295,1,1,235
92,8,9,650,6,1,1548472489,2645,74378317,2,1,718
93,5,7,533,10,1,1548472489,2645,88515053,3,1,608
94,16,9,335,2,1,1548472489,2645,54809819,4,1,383
95,10,5,475,12,1,1548472489,2645,46667982,128,0,551
96,7,9,277,5,1,1548472489,2645,47067153,129,0,329
97,14,8,261,5,1,1548472489,2645,57286961,130,0,336
98,19,6,442,10,1,1548472489,2645,86740711,131,0,638
99,16,11,394,11,1,1548472489,2645,35307969,132,0,572
100,6,8,427,6,1,1512672958,2430,28118398,0,0,549
101,7,5,376,4,1,1512672958,2430,149531,1,0,489
102,7,7,269,6,1,1512672958,2430,60788113,2,0,358
103,7,8,257,2,1,1512672958,2430,119376231,3,0,344
104,6,6,472,2,1,1512672958,2430,194452989,4,0,559
105,10,4,697,8,1,1512672958,2430,46667982,128,1,765
106,8,5,575,5,1,1512672958,2430,89957437,129,1,614
107,8,3,699,14,1,1512672958,2430,86740711,130,1,802
108,8,8,388,4,1,1512672958,2430,57286961,131,1,378
109,9,4,334,2,1,1512672958,2430,1049332,132,1,344
110,20,7,332,7,1,1506902647,2854,32307910,0,1,355
111,13,4,333,7,1,1506902647,2854,17184907,1,1,380
112,5,2,650,8,1,1506902647,2854,46667982,2,1,684
113,14,3,398,6,1,1506902647,2854,42291565,3,1,462
114,19,3,487,12,1,1506902647,2854,84153087,4,1,590
115,6,8,200,1,1,1506902647,2854,113607070,128,0,216
116,6,5,321,2,1,1506902647,2854,81599931,129,0,423
117,7,9,454,10,1,1506902647,2854,86756124,130,0,516
118,4,7,452,5,1,1506902647,2854,81405243,131,0,457
119,6,13,243,1,1,1506902647,2854,86767938,132,0,222
120,15,3,290,2,1,1339252893,2151,100737431,0,1,328
121,9,3,361,4,1,1339252893,2151,167457267,1,1,314
122,5,5,562,3,1,1339252893,2151,178430509,2,1,550
123,10,2,521,6,1,1339252893,2151,4294967295,3,1,535
124,5,3,684,17,1,1339252893,2151,100870442,4,1,788
125,4,8,152,1,1,1339252893,2151,1049332,128,0,162
126,3,7,354,2,1,1339252893,2151,46667982,129,0,335
127,3,6,357,7,1,1339252893,2151,86740711,130,0,426
128,3,5,245,4,1,1339252893,2151,203435139,131,0,244
129,10,7,247,2,1,1339252893,2151,57286961,132,0,320
130,3,3,684,2,1,1328426748,1997,46667982,0,1,628
131,1,3,808,22,1,1328426748,1997,86740711,1,1,973
132,8,5,325,1,1,1328426748,1997,35307969,2,1,283
133,11,7,350,1,1,1328426748,1997,6289444,3,1,346
134,9,5,280,1,1,1328426748,1997,30999748,4,1,240
135,7,7,406,4,1,1328426748,1997,112669497,128,0,472
136,6,4,468,7,1,1328426748,1997,158492770,129,0,731
137,3,5,210,4,1,1328426748,1997,124048247,130,0,260
138,6,5,455,2,1,1328426748,1997,136846422,131,0,502
139,7,6,355,6,1,1328426748,1997,90168901,132,0,419
140,15,8,264,2,1,1233149563,2275,4294967295,0,0,399
141,18,7,278,4,1,1233149563,2275,155937846,1,0,410
142,8,13,556,21,1,1233149563,2275,123378292,2,0,778
143,11,5,429,0,1,1233149563,2275,178974437,3,0,527
144,9,11,230,6,1,1233149563,2275,144784592,4,0,295
145,10,1,811,12,1,1233149563,2275,46667982,128,1,873
146,5,7,350,6,1,1233149563,2275,30999748,129,1,396
147,16,11,371,6,1,1233149563,2275,32307910,130,1,426
148,20,6,470,10,1,1233149563,2275,86740711,131,1,631
149,14,9,377,10,1,1233149563,2275,47067153,132,1,463
150,3,2,744,8,1,1215504662,1827,46667982,0,1,807
151,14,2,605,2,1,1215504662,1827,86740711,1,1,594
152,10,3,421,5,1,1215504662,1827,32307910,2,1,419
153,12,4,348,7,1,1215504662,1827,17184907,3,1,390
154,6,5,292,2,1,1215504662,1827,42493875,4,1,266
155,5,7,277,6,1,1215504662,1827,108374728,128,0,312
156,3,2,281,0,1,1215504662,1827,65413925,129,0,383
157,1,4,495,7,1,1215504662,1827,50191954,130,0,552
158,5,6,349,2,1,1215504662,1827,36005654,131,0,415
159,1,9,234,1,1,1215504662,1827,117533487,132,0,251
160,8,9,207,2,1,1215436299,2583,4294967295,0,0,301
161,6,5,570,8,1,1215436299,2583,147923343,1,0,657
162,5,5,275,8,1,1215436299,2583,64925256,2,0,338
163,9,8,387,5,1,1215436299,2583,55019108,3,0,444
164,6,6,371,1,1,1215436299,2583,78813499,4,0,430
165,3,1,647,12,1,1215436299,2583,46667982,128,1,691
166,13,3,627,11,1,1215436299,2583,6289444,129,1,758
167,4,1,302,1,1,1215436299,2583,32307910,130,1,345
168,9,12,253,1,1,1215436299,2583,80581900,131,1,269
169,10,8,495,7,1,1215436299,2583,86740711,132,1,615
170,3,6,381,2,1,1213216668,2223,101624523,0,0,515
171,4,10,225,3,1,1213216668,2223,88061693,1,0,258
172,9,8,213,1,1,1213216668,2223,117169328,2,0,224
173,6,4,547,2,1,1213216668,2223,118410125,3,0,554
174,2,8,287,4,1,1213216668,2223,123378292,4,0,323
175,6,2,728,6,1,1213216668,2223,46667982,128,1,709
176,11,1,323,7,1,1213216668,2223,1049332,129,1,430
177,9,3,421,6,1,1213216668,2223,6289444,130,1,531
178,17,2,645,13,1,1213216668,2223,86740711,131,1,736
179,10,5,315,4,1,1213216668,2223,32307910,132,1,414
180,2,6,164,0,1,879501440,1335,134303285,0,0,177
181,3,7,232,1,1,879501440,1335,150919669,1,0,255
182,1,5,165,2,1,879501440,1335,577920,2,0,157
183,0,10,126,0,1,879501440,1335,114122088,3,0,161
184,1,9,199,0,1,879501440,1335,181481065,4,0,203
185,5,2,859,3,1,879501440,1335,46667982,128,1,611
186,13,1,516,7,1,879501440,1335,40088783,129,1,546
187,5,1,729,18,1,879501440,1335,30999748,130,1,679
188,16,1,433,2,1,879501440,1335,32307910,131,1,402
189,8,0,530,7,1,879501440,1335,1049332,132,1,477
190,10,5,268,4,1,874872666,3416,126775991,0,0,326
191,12,7,494,3,1,874872666,3416,108730348,1,0,554
192,14,8,319,4,1,874872666,3416,145267319,2,0,347
193,9,8,340,5,1,874872666,3416,109644641,3,0,308
194,9,4,454,15,1,874872666,3416,71014538,4,0,599
195,10,5,721,11,1,874872666,3416,46667982,128,1,569
196,9,8,474,6,1,874872666,3416,30999748,129,1,489
197,11,8,242,3,1,874872666,3416,1049332,130,1,238
198,12,4,370,4,1,874872666,3416,86740711,131,1,422
199,12,7,235,2,1,874872666,3416,47067153,132,1,300
200,4,8,193,0,1,870000114,1474,155459133,0,0,252
201,3,6,265,1,1,870000114,1474,62368997,1,0,352
202,0,4,102,0,1,870000114,1474,74458447,2,0,41
203,3,8,278,2,1,870000114,1474,122077194,3,0,377
204,1,4,391,3,1,870000114,1474,4294967295,4,0,442
205,3,0,930,5,1,870000114,1474,46667982,128,1,961
206,6,3,466,7,1,870000114,1474,4550302,129,1,521
207,4,2,416,3,1,870000114,1474,1049332,130,1,353
208,8,1,774,12,1,870000114,1474,86740711,131,1,761
209,2,3,506,2,1,870000114,1474,30999748,132,1,404
210,16,0,751,10,1,868312537,1242,46667982,0,1,610
211,24,3,795,25,1,868312537,1242,100599348,1,1,919
212,16,1,536,3,1,868312537,1242,32307910,2,1,584
213,29,1,525,6,1,868312537,1242,86740711,3,1,584
214,14,0,710,8,1,868312537,1242,30999748,4,1,732
215,3,12,298,0,1,868312537,1242,73485232,128,0,124
216,3,9,174,1,1,868312537,1242,119248632,129,0,161
217,0,10,177,0,1,868312537,1242,41630928,130,0,163
218,0,9,183,2,1,868312537,1242,106591185,131,0,186
219,2,12,238,2,1,868312537,1242,16245852,132,0,261
220,3,8,294,1,1,780240505,1495,57163356,0,0,216
221,2,6,224,2,1,780240505,1495,12914596,1,0,238
222,1,11,217,2,1,780240505,1495,23975852,2,0,167
223,5,12,186,1,1,780240505,1495,97306187,3,0,141
224,0,0,102,0,1,780240505,1495,4294967295,4,0,0
225,1,0,718,0,1,780240505,1495,46667982,128,1,664
226,4,0,797,27,1,780240505,1495,86740711,129,1,957
227,13,1,496,4,1,780240505,1495,100599348,130,1,478
228,7,2,292,2,1,780240505,1495,1049332,131,1,277
229,6,5,347,4,1,780240505,1495,7526887,132,1,269
230,8,1,309,2,1,764512769,903,80345209,0,1,264
231,6,0,563,6,1,764512769,903,4294967295,1,1,458
232,9,3,337,4,1,764512769,903,21173439,2,1,370
233,6,2,495,4,1,764512769,903,171977235,3,1,527
234,0,0,448,2,1,764512769,903,4294967295,4,1,530
235,1,3,169,0,1,764512769,903,1049332,128,0,155
236,0,6,247,2,1,764512769,903,100599348,129,0,241
237,2,4,366,0,1,764512769,903,46667982,130,0,168
238,1,3,205,2,1,764512769,903,30999748,131,0,223
239,3,3,406,1,1,764512769,903,86740711,132,0,465
240,12,8,276,1,1,695149129,2638,36941895,0,0,276
241,3,8,266,6,1,695149129,2638,15536303,1,0,249
242,13,5,322,3,1,695149129,2638,19847908,2,0,357
243,11,8,463,4,1,695149129,2638,39255798,3,0,452
244,7,7,340,4,1,695149129,2638,42980223,4,0,460
245,9,2,894,12,1,695149129,2638,46667982,128,1,737
246,9,6,354,3,1,695149129,2638,47067153,129,1,412
247,19,5,435,6,1,695149129,2638,100599348,130,1,585
248,4,5,301,4,1,695149129,2638,1049332,131,1,337
249,12,3,538,11,1,695149129,2638,86740711,132,1,660
250,3,7,302,5,1,692725231,1303,16884845,0,0,262
251,3,6,176,0,1,692725231,1303,4294967295,1,0,162
252,0,6,185,0,1,692725231,1303,4294967295,2,0,143
253,1,3,226,0,1,692725231,1303,4294967295,3,0,192
254,2,7,225,1,1,692725231,1303,163837407,4,0,220
255,0,0,743,2,1,692725231,1303,46667982,128,1,707
256,7,1,451,5,1,692725231,1303,47067153,129,1,392
257,13,4,519,12,1,692725231,1303,86740711,130,1,445
258,7,3,489,4,1,692725231,1303,4550302,131,1,414
259,11,1,436,5,1,692725231,1303,100599348,132,1,304
260,7,5,225,1,1,688164109,1682,79333848,0,0,228
261,3,7,187,1,1,688164109,1682,1024342,1,0,312
262,2,7,273,3,1,688164109,1682,2556292,2,0,325
263,5,6,278,2,1,688164109,1682,93766854,3,0,275
264,3,11,200,6,1,688164109,1682,96543663,4,0,296
265,5,1,763,4,1,688164109,1682,46667982,128,1,730
266,17,4,399,5,1,688164109,1682,100599348,129,1,414
267,8,6,591,17,1,688164109,1682,32944096,130,1,590
268,17,1,384,3,1,688164109,1682,47067153,131,1,526
269,15,2,497,6,1,688164109,1682,4550302,132,1,540
270,10,5,277,3,1,668397245,2900,86740711,0,1,323
271,5,5,611,3,1,668397245,2900,4294967295,1,1,565
272,5,7,369,3,1,668397245,2900,1049332,2,1,470
273,8,1,774,10,1,668397245,2900,46667982,3,1,672
274,8,4,388,4,1,668397245,2900,4550302,4,1,353
275,7,7,214,4,1,668397245,2900,14768811,128,0,256
276,10,1,372,8,1,668397245,2900,44116793,129,0,494
277,5,7,305,6,1,668397245,2900,107386791,130,0,436
278,7,4,380,3,1,668397245,2900,64584473,131,0,475
279,8,4,559,0,1,668397245,2900,30795237,132,0,614
280,5,10,489,13,1,668053836,2443,108551830,0,0,602
281,8,9,271,3,1,668053836,2443,117530119,1,0,345
282,8,11,315,4,1,668053836,2443,34991774,2,0,407
